codi_variable,acronim,nom_variable,unitat,codi_tipus_var
44,HRn,Humitat relativa mínima,%,DAT
40,Tx,Temperatura màxima,°C,DAT
46,VV2,Velocitat del vent a 2 m (esc.),m/s,DAT
32,T,Temperatura,°C,DAT
72,PPTx1min,Precipitació màxima en 1 minut,mm,DAT
51,DVVx10,Direcció de la ratxa màxima del vent a 10 m,°,DAT
3,HRx,Humitat relativa màxima,%,DAT
30,VV10,Velocitat del vent a 10 m (esc.),m/s,DAT
56,VVx2,Ratxa màxima del vent a 2 m,m/s,DAT
31,DV10,Direcció de vent 10 m (m. 1),°,DAT
1,Px,Pressió atmosfèrica màxima,hPa,DAT
42,Tn,Temperatura mínima,°C,DAT
2,Pn,Pressió atmosfèrica mínima,hPa,DAT
36,RS,Irradiància solar global,W/m²,DAT
38,GNEU,Gruix de neu a terra,cm,DAT
50,VVx10,Ratxa màxima del vent a 10 m,m/s,DAT
34,P,Pressió atmosfèrica,hPa,DAT
59,RN,Irradiància neta,W/m²,DAT
47,DV2,Direcció del vent a 2 m (m. 1),°,DAT
35,PPT,Precipitació,mm,DAT
48,VV6,Velocitat del vent a 6 m (esc.),m/s,DAT
53,VVx6,Ratxa màxima del vent a 6 m,m/s,DAT
49,DV6,Direcció del vent a 6 m (m. 1),°,DAT
33,HR,Humitat relativa,%,DAT
54,DVVx6,Direcció de la ratxa màxima del vent a 6 m,°,DAT
57,DVVx2,Direcció de la ratxa màxima del vent a 2 m,°,DAT
1515,DVVX10,Direcció de la ratxa màx. diària de vent 10 m,°,AD
1504,VVM6,Velocitat mitjana diària del vent 6 m (esc.),m/s,AD
1201,PX,Pressió atmosfèrica màxima diària + hora,hPa,AD
1401,RN24h,Irradiació neta diària,MJ/m2,AD
1000,TM,Temperatura mitjana diària,°C,AD
1002,TN,Temperatura mínima diària + hora,°C,AD
1511,DVM2,Direcció mitjana diària del vent 2 m (m. 1),°,AD
1509,DVM10,Direcció mitjana diària del vent 10 m (m. 1),°,AD
1601,GNEUX,Gruix de neu màxim diari + hora,cm,AD
1700,ETo,Evapotranspiració de referència,mm,AD
1513,VVX6,Ratxa màxima diària del vent 6 m + hora,m/s,AD
1302,PPTx1min,Precipitació màxima en 1 min (diària) + hora,mm,AD
1100,HRM,Humitat relativa mitjana diària,%,AD
1303,PPTx1h,Precipitació màxima en 1 h (diària) + hora,mm,AD
1400,RS24h,Irradiació solar global diària,MJ/m2,AD
1304,PPTx30min,Precipitació màxima en 30 min (diària)+ hora,mm,AD
1200,PM,Pressió atmosfèrica mitjana diària,hPa,AD
1600,GNEUM,Gruix de neu mitjà diari,cm,AD
1301,PPTc,Precipitació acumulada diària (8-8 h),mm,AD
1505,VVM2,Velocitat mitjana diària del vent 2 m (esc.),m/s,AD
1001,TX,Temperatura màxima diària + hora,°C,AD
1517,DVVX2,Direcció de la ratxa màx. diària de vent 2 m,°,AD
1503,VVM10,Velocitat mitjana diària del vent 10 m (esc.),m/s,AD
1510,DVM6,Direcció mitjana diària del vent 6 m (m. 1),°,AD
1512,VVX10,Ratxa màxima diària del vent 10 m + hora,m/s,AD
1514,VVX2,Ratxa màxima diària del vent 2 m + hora,m/s,AD
1003,TMc,Temperatura mitjana diària clàssica,°C,AD
1004,AT,Amplitud tèrmica diària,°C,AD
1603,GNEUN,Gruix de neu mínim diari + hora,cm,AD
1101,HRX,Humitat relativa màxima diària + data,%,AD
1300,PPT,Precipitació acumulada diària,mm,AD
1202,PN,Pressió atmosfèrica mínima diària + hora,hPa,AD
1602,GNEU24h,Gruix de neu nova acumulada diària,cm,AD
1516,DVVX6,Direcció de la ratxa màx. diària de vent 6 m,°,AD
1305,PPTx10min,Precipitació màxima en 10 min (diària) + hora,mm,AD
1102,HRN,Humitat relativa mínima diària + data,%,AD
